epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,466.883,0.2977,0.45787,0.89168,0.77506,0.69346,0.80382,0.65651,0.90051,1.48273,1.30774,8.94882e-05,8.94882e-05,8.94882e-05
121,470.94,0.33646,0.50428,0.90282,0.8259,0.67579,0.83937,0.68727,0.91108,1.46972,1.32278,8.6736e-05,8.6736e-05,8.6736e-05
122,474.858,0.32648,0.55766,0.8843,0.90824,0.6688,0.83014,0.67923,0.89209,1.45145,1.27769,8.39838e-05,8.39838e-05,8.39838e-05
123,478.711,0.32433,0.49883,0.91453,0.91385,0.66796,0.82542,0.68459,0.85713,1.42877,1.25359,8.12316e-05,8.12316e-05,8.12316e-05
124,482.652,0.3079,0.48832,0.88871,0.83803,0.67708,0.82165,0.69768,0.83325,1.42548,1.23763,7.84794e-05,7.84794e-05,7.84794e-05
125,486.412,0.30029,0.48656,0.89075,0.86544,0.66969,0.83785,0.7019,0.82849,1.40704,1.23965,7.57272e-05,7.57272e-05,7.57272e-05
126,490.265,0.31139,0.48272,0.8992,0.85748,0.67871,0.84513,0.69588,0.84538,1.35159,1.27049,7.2975e-05,7.2975e-05,7.2975e-05
127,494.093,0.29804,0.45197,0.90947,0.83862,0.67867,0.83301,0.69182,0.84468,1.31692,1.26201,7.02228e-05,7.02228e-05,7.02228e-05
128,497.864,0.3022,0.43188,0.89418,0.83717,0.67971,0.82867,0.68785,0.86549,1.32565,1.25719,6.74706e-05,6.74706e-05,6.74706e-05
129,501.606,0.29701,0.46002,0.89486,0.90212,0.67566,0.81622,0.67647,0.86011,1.29416,1.24793,6.47184e-05,6.47184e-05,6.47184e-05
130,505.3,0.2919,0.43042,0.86807,0.84641,0.6816,0.81234,0.68301,0.83942,1.3055,1.23578,6.19662e-05,6.19662e-05,6.19662e-05
131,509.213,0.31597,0.49348,0.90027,0.85788,0.67861,0.81622,0.68376,0.82088,1.30459,1.249,5.9214e-05,5.9214e-05,5.9214e-05
132,513.167,0.29134,0.45045,0.88582,0.92184,0.66953,0.8175,0.67596,0.83151,1.32785,1.2584,5.64618e-05,5.64618e-05,5.64618e-05
133,516.958,0.28371,0.45469,0.8947,0.92173,0.67221,0.81544,0.67036,0.85706,1.34087,1.28541,5.37096e-05,5.37096e-05,5.37096e-05
134,520.947,0.28617,0.45364,0.89834,0.92137,0.67612,0.81583,0.66651,0.87481,1.35953,1.30836,5.09574e-05,5.09574e-05,5.09574e-05
135,525.054,0.28617,0.42368,0.88039,0.86465,0.68203,0.80764,0.65851,0.87811,1.36573,1.31658,4.82052e-05,4.82052e-05,4.82052e-05
136,528.838,0.26373,0.42584,0.87744,0.84927,0.68666,0.80587,0.66225,0.85954,1.37333,1.29751,4.5453e-05,4.5453e-05,4.5453e-05
137,532.6,0.25957,0.44449,0.88912,0.89713,0.6893,0.81433,0.67248,0.82182,1.40501,1.2243,4.27008e-05,4.27008e-05,4.27008e-05
138,536.36,0.30185,0.43452,0.89213,0.89201,0.68337,0.81449,0.68008,0.79056,1.41418,1.18228,3.99486e-05,3.99486e-05,3.99486e-05
139,540.087,0.28231,0.40981,0.89957,0.88608,0.67668,0.81229,0.6757,0.78051,1.44609,1.17566,3.71964e-05,3.71964e-05,3.71964e-05
140,543.871,0.25432,0.39869,0.87453,0.79387,0.69436,0.80749,0.6705,0.76179,1.48361,1.1675,3.44442e-05,3.44442e-05,3.44442e-05
141,584.715,0.22748,0.24341,0.85716,0.68745,0.80018,0.7992,0.66995,0.75882,1.51084,1.17535,3.1692e-05,3.1692e-05,3.1692e-05
142,588.475,0.22646,0.25566,0.85614,0.72791,0.77436,0.81242,0.67877,0.76225,1.53092,1.19191,2.89398e-05,2.89398e-05,2.89398e-05
143,592.2,0.22293,0.24041,0.83844,0.73653,0.74867,0.82675,0.69693,0.77539,1.54828,1.2099,2.61876e-05,2.61876e-05,2.61876e-05
144,595.931,0.22741,0.23927,0.81888,0.82026,0.74001,0.83207,0.70452,0.78437,1.52979,1.22329,2.34354e-05,2.34354e-05,2.34354e-05
145,599.732,0.20805,0.23467,0.80857,0.83435,0.73423,0.83207,0.69636,0.79118,1.51961,1.23059,2.06832e-05,2.06832e-05,2.06832e-05
146,603.458,0.21139,0.24127,0.83243,0.81827,0.74593,0.81173,0.67654,0.79628,1.49913,1.23233,1.7931e-05,1.7931e-05,1.7931e-05
147,607.147,0.21164,0.22744,0.83024,0.81082,0.7542,0.80827,0.67283,0.78493,1.47773,1.21775,1.51788e-05,1.51788e-05,1.51788e-05
148,610.863,0.22858,0.22779,0.85528,0.81517,0.74942,0.80256,0.67192,0.78305,1.48477,1.22124,1.24266e-05,1.24266e-05,1.24266e-05
149,614.503,0.21087,0.21701,0.83502,0.81361,0.75206,0.79841,0.6679,0.78478,1.47928,1.22072,9.6744e-06,9.6744e-06,9.6744e-06
150,618.186,0.19468,0.2305,0.83207,0.81295,0.752,0.80301,0.66519,0.78258,1.47812,1.21775,6.9222e-06,6.9222e-06,6.9222e-06
